날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-11 02,서울 중구,중구,111121,.002,.6,.039,.009,37,27
2020-05-11 03,서울 중구,중구,111121,.002,.6,.04,.009,42,27
2020-05-11 04,서울 중구,중구,111121,.002,.6,.041,.008,44,33
2020-05-11 05,서울 중구,중구,111121,.002,.6,.042,.009,52,40
2020-05-11 06,서울 중구,중구,111121,.002,.6,.043,.01,58,44
2020-05-11 07,서울 중구,중구,111121,.003,.6,.04,.015,66,47
2020-05-11 08,서울 중구,중구,111121,.002,.7,.031,.026,72,46
2020-05-11 09,서울 중구,중구,111121,.003,.7,.028,.033,77,42
2020-05-11 10,서울 중구,중구,111121,.003,.7,.031,.027,75,36
2020-05-11 11,서울 중구,중구,111121,.003,.6,.032,.023,91,34
2020-05-11 12,서울 중구,중구,111121,.003,.5,.037,.018,123,31
2020-05-11 13,서울 중구,중구,111121,.003,.4,.042,.016,142,27
2020-05-11 14,서울 중구,중구,111121,.003,.4,.037,.016,133,21
2020-05-11 15,서울 중구,중구,111121,.002,.3,.037,.015,106,14
2020-05-11 16,서울 중구,중구,111121,.002,.3,.032,.019,101,16
2020-05-11 17,서울 중구,중구,111121,.002,.3,.032,.017,110,17
2020-05-11 18,서울 중구,중구,111121,.002,.4,.029,.022,109,15
2020-05-11 19,서울 중구,중구,111121,.003,.4,.027,.025,123,17
2020-05-11 20,서울 중구,중구,111121,.003,.4,.024,.029,140,20
2020-05-11 21,서울 중구,중구,111121,.003,.5,.021,.031,132,20
2020-05-11 22,서울 중구,중구,111121,.003,.4,.026,.023,143,21
2020-05-11 23,서울 중구,중구,111121,.002,.3,.033,.012,119,17
2020-05-11 24,서울 중구,중구,111121,.002,.3,.03,.012,83,15
2020-05-12 01,서울 중구,중구,111121,.002,.3,.029,.011,41,11
2020-05-12 02,서울 중구,중구,111121,.002,.3,.025,.015,28,8
